runnum, date, Tsatrt, Tsustain/s, Teff/10s, ACCT_avg, beam_duty_ratio, target_duty_ratio, BeamDose   , Counts, crossSection/ub, TargetThickness(mg/cm2), DetectEff, BranchingRatio, Target, TranEff, ACCT_window_start  , ACCT_window_end_exclusive, ACCT_sample_count, ACCT_raw_mean, ACCT_sample_variance, ACCT_sample_std, ACCT_rel_std_pct, ACCT_mean_sem, ACCT_rel_sem_pct, ACCT_avg_minus_raw_mean, Counts_stat_rel_unc_pct, ACCT_avg_rel_unc_pct, crossSection_rel_unc_pct, TargetThickness_rel_unc_pct, TranEff_total_rel_unc_pct, TranEff_abs_unc_pp, TranEff_lower_pct, TranEff_upper_pct
    63, 5.11, 16:07 ,        600,       60, 5.756335,           0.975,               0.9, 9.45915E+14,  68712,             545,                     0.5,      0.55,          0.985,    169, 14.17% , 2026-05-11 16:07:00, 2026-05-11 16:17:00      ,              2317,  5.7563346010,         0.1561706128,    0.3951842770,         6.865207,  0.0082098768,         0.142623, 0.0000003990           ,                0.381490,             6.865207,                 1.200000,                   10.000000,                 12.194942,             1.7280, 12.4420          ,           15.8980
    64, 5.11, 16:21 ,        600,       30, 5.395572,           0.975,               0.9, 4.43316E+14,  23685,             545,                     0.5,      0.55,          0.985,    169, 10.43% , 2026-05-11 16:21:00, 2026-05-11 16:31:00      ,              2315,  2.6977863669,         8.1960464199,    2.8628738044,       106.119367,  0.0595013346,         2.205561, 2.6977856331           ,                0.649775,           106.119367,                 1.200000,                   10.000000,                106.598228,            11.1182, -0.6882          ,           21.5482
    65, 5.11, 16:43 ,        600,       60, 5.755703,           0.975,               0.9, 9.45811E+14,  57499,             545,                     0.5,      0.55,          0.985,    169, 11.86% , 2026-05-11 16:43:00, 2026-05-11 16:53:00      ,              2621,  5.7557031598,         0.1508772843,    0.3884292526,         6.748598,  0.0075871456,         0.131820, -0.0000001598          ,                0.417032,             6.748598,                 1.200000,                   10.000000,                 12.130849,             1.4387, 10.4213          ,           13.2987
    66, 5.11, 16:58 ,        600,       60, 5.809184,           0.975,               0.9, 9.54599E+14,  52404,             545,                     0.5,      0.55,          0.985,    169, 10.71% , 2026-05-11 16:58:00, 2026-05-11 17:08:00      ,              2613,  5.8091838920,         0.1511967114,    0.3888402132,         6.693543,  0.0076067907,         0.130944, 0.0000001080           ,                0.436835,             6.693543,                 1.200000,                   10.000000,                 12.101006,             1.2960, 9.4140           ,           12.0060
    67, 5.11, 17:13 ,        600,       60, 5.658693,           0.975,               0.9, 9.29869E+14, 102634,             545,                     0.5,      0.55,          0.985,    169, 21.54% , 2026-05-11 17:13:00, 2026-05-11 17:23:00      ,              3069,  5.6586931139,         0.1684201240,    0.4103902094,         7.252385,  0.0074079586,         0.130913, -0.0000001139          ,                0.312144,             7.252385,                 1.200000,                   10.000000,                 12.415092,             2.6742, 18.8658          ,           24.2142
    68, 5.11, 17:28 ,        600,       60, 5.587359,           0.975,               0.9, 9.18147E+14, 109027,             545,                     0.5,      0.55,          0.985,    169, 23.17% , 2026-05-11 17:28:00, 2026-05-11 17:38:00      ,              3437,  5.5873591864,         0.1642543380,    0.4052830344,         7.253570,  0.0069130334,         0.123726, -0.0000001864          ,                0.302854,             7.253570,                 1.200000,                   10.000000,                 12.415555,             2.8767, 20.2933          ,           26.0467
    69, 5.11, 17:41 ,        600,       60, 5.546952,           0.975,               0.9, 9.11508E+14, 101340,             545,                     0.5,      0.55,          0.985,    169, 21.69% , 2026-05-11 17:41:00, 2026-05-11 17:51:00      ,              3429,  5.5469518425,         0.1571123930,    0.3963740569,         7.145799,  0.0067689527,         0.122030, 0.0000001575           ,                0.314130,             7.145799,                 1.200000,                   10.000000,                 12.353183,             2.6794, 19.0106          ,           24.3694
    70, 5.11, 17:55 ,        600,       60, 5.544805,           0.975,               0.9, 9.11155E+14,  60001,             545,                     0.5,      0.55,          0.985,    169, 12.85% , 2026-05-11 17:55:00, 2026-05-11 18:05:00      ,              3424,  5.5448045820,         0.1589516853,    0.3986874531,         7.190289,  0.0068134283,         0.122880, 0.0000004180           ,                0.408245,             7.190289,                 1.200000,                   10.000000,                 12.381717,             1.5911, 11.2589          ,           14.4411
    71, 5.11, 18:11 ,        600,       60, 5.550519,           0.975,               0.9, 9.12094E+14,  57757,             545,                     0.5,      0.55,          0.985,    169, 12.36% , 2026-05-11 18:11:00, 2026-05-11 18:21:00      ,              3357,  5.5505186758,         0.1621722696,    0.4027061827,         7.255289,  0.0069504453,         0.125222, 0.0000003242           ,                0.416100,             7.255289,                 1.200000,                   10.000000,                 12.419837,             1.5351, 10.8249          ,           13.8951
    72, 5.11, 18:29 ,        600,       60, 5.52481 ,           0.975,               0.9, 9.07869E+14,  46991,             545,                     0.5,      0.55,          0.985,    169, 10.10% , 2026-05-11 18:29:00, 2026-05-11 18:39:00      ,              3006,  5.5248095876,         0.1544078202,    0.3929476050,         7.112419,  0.0071670454,         0.129725, 0.0000004124           ,                0.461310,             7.112419,                 1.200000,                   10.000000,                 12.338530,             1.2462, 8.8538           ,           11.3462
