isotope, symbol, Z  , N  , A  , is_parenthesized, mass_number_uncertain, T_half_raw          , T_half_s              , T_half_err_plus_s     , T_half_err_minus_s    , T_half_err_s          , T_half_unit, T_half_qualifier, T_half_estimated, Jpi_raw       , Jpi_estimated, decay_modes_raw                 , branching_raw                  , b_alpha_percent, b_alpha_err_plus_percent, b_alpha_err_minus_percent, b_alpha_err_percent, b_alpha_qualifier, b_alpha_estimated, T_alpha_half_s        , T_alpha_half_err_plus_s, T_alpha_half_err_minus_s, T_alpha_half_err_s    , T_alpha_half_qualifier, T_alpha_half_estimated, b_SF_percent, b_SF_err_plus_percent, b_SF_err_minus_percent, b_SF_err_percent, b_SF_qualifier, b_SF_estimated, T_SF_half_s           , T_SF_half_err_plus_s  , T_SF_half_err_minus_s , T_SF_half_err_s       , T_SF_half_qualifier, T_SF_half_estimated, Qalpha_raw  , Qalpha_keV, Qalpha_MeV         , Qalpha_err_keV      , Qalpha_err_MeV       , Qalpha_estimated, Qalpha_is_experimental, Qalpha_qualifier, has_estimated_marker, nonexperimental_fields, discovery_year
243Fm  , Fm    , 100, 143, 243, False           , False                , 231(9) ms           , 0.231                 , 0.009000000000000001  , 0.009000000000000001  , 0.009000000000000001  , ms         ,                 , False           , (7/2^-)       , False        , "alpha, EC, SF"                 , 91/?/9                         ,           91.0 ,                         ,                          ,                    ,                  , False            , 0.25384615384615383   , 0.009890109890109891   , 0.009890109890109891    , 0.009890109890109891  ,                       , False                 , 9.0         ,                      ,                       ,                 ,               , False         , 2.566666666666667     , 0.10000000000000002   , 0.10000000000000002   , 0.10000000000000002   ,                    , False              , 8690(50)    ,    8690.0 ,  8.69              ,  50.0               , 0.05                 , False           , True                  ,                 , False               ,                       ,         1981.0
244Fm  , Fm    , 100, 144, 244, False           , False                , 3.21(8) ms          , 0.00321               , 8e-05                 , 8e-05                 , 8e-05                 , ms         ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , <1/<2/>97                      ,            1.0 ,                         ,                          ,                    , <                , False            , 0.321                 , 0.008                  , 0.008                   , 0.008                 , >                     , False                 , 97.0        ,                      ,                       ,                 , >             , False         , 0.003309278350515464  , 8.247422680412371e-05 , 8.247422680412371e-05 , 8.247422680412371e-05 , <                  , False              , 8550(200)#  ,    8550.0 ,  8.55              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1967.0
245Fm  , Fm    , 100, 145, 245, False           , False                , 5.4(6) ms           , 0.0054                , 0.0006000000000000001 , 0.0006000000000000001 , 0.0006000000000000001 , ms         ,                 , False           ,               , False        , "alpha EC, SF"                  , 100/<7/<0.3                    ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.0054                , 0.0006000000000000001  , 0.0006000000000000001   , 0.0006000000000000001 ,                       , False                 , 0.3         ,                      ,                       ,                 , <             , False         , 1.8                   , 0.2                   , 0.2                   , 0.2                   , >                  , False              , 8373(25)    ,    8373.0 ,  8.373             ,  25.0               , 0.025                , False           , True                  ,                 , False               ,                       ,         1967.0
246Fm  , Fm    , 100, 146, 246, False           , False                , 1.54(4) s           , 1.54                  , 0.04                  , 0.04                  , 0.04                  , s          ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , 93.6/6.4/<=1.3                 ,           93.6 ,                         ,                          ,                    ,                  , False            , 1.6452991452991454    , 0.042735042735042736   , 0.042735042735042736    , 0.042735042735042736  ,                       , False                 , 1.3         ,                      ,                       ,                 , <=            , False         , 118.46153846153845    , 3.0769230769230766    , 3.0769230769230766    , 3.0769230769230766    , >=                 , False              , 8379(5)     ,    8379.0 ,  8.379             ,   5.0               , 0.005                , False           , True                  ,                 , False               ,                       ,         1966.0
247Fm  , Fm    , 100, 147, 247, False           , False                , 31(1) s             , 31.0                  , 1.0                   , 1.0                   , 1.0                   , s          ,                 , False           , (7/2^+)       , False        , "alpha, EC"                     , 64/36                          ,           64.0 ,                         ,                          ,                    ,                  , False            , 48.4375               , 1.5625                 , 1.5625                  , 1.5625                ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8258(10)    ,    8258.0 ,  8.258             ,  10.0               , 0.01                 , False           , True                  ,                 , False               ,                       ,         1967.0
248Fm  , Fm    , 100, 148, 248, False           , False                , 34.5(12) s          , 34.5                  , 1.2000000000000002    , 1.2000000000000002    , 1.2000000000000002    , s          ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , 0.99/?/0.1                     ,            0.99,                         ,                          ,                    ,                  , False            , 3484.848484848485     , 121.21212121212125     , 121.21212121212125      , 121.21212121212125    ,                       , False                 , 0.1         ,                      ,                       ,                 ,               , False         , 34500.0               , 1200.0000000000002    , 1200.0000000000002    , 1200.0000000000002    ,                    , False              , 7995(8)     ,    7995.0 ,  7.995             ,   8.0               , 0.008                , False           , True                  ,                 , False               ,                       ,         1958.0
249Fm  , Fm    , 100, 149, 249, False           , False                , 1.6(1) min          , 96.0                  , 6.0                   , 6.0                   , 6.0                   , min        ,                 , False           , 7/2^+         , False        , "alpha, EC"                     , 15.6/84.4                      ,           15.6 ,                         ,                          ,                    ,                  , False            , 615.3846153846154     , 38.46153846153846      , 38.46153846153846       , 38.46153846153846     ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7709(6)     ,    7709.0 ,  7.709             ,   6.0               , 0.006                , False           , True                  ,                 , False               ,                       ,         1960.0
250Fm  , Fm    , 100, 150, 250, False           , False                , 31.0(11) min        , 1860.0                , 66.0                  , 66.0                  , 66.0                  , min        ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , 100/?/6.9E-3                   ,          100.0 ,                         ,                          ,                    ,                  , False            , 1860.0                , 66.0                   , 66.0                    , 66.0                  ,                       , False                 , 0.0069      ,                      ,                       ,                 ,               , False         , 26956521.739130437    , 956521.7391304349     , 956521.7391304349     , 956521.7391304349     ,                    , False              , 7557(8)     ,    7557.0 ,  7.557             ,   8.0               , 0.008                , False           , True                  ,                 , False               ,                       ,         1954.0
251Fm  , Fm    , 100, 151, 251, False           , False                , 5.30(8) h           , 19080.0               , 288.0                 , 288.0                 , 288.0                 , h          ,                 , False           , 9/2^-         , False        , "alpha, EC"                     , 1.80/98.20                     ,            1.8 ,                         ,                          ,                    ,                  , False            , 1059999.9999999998    , 15999.999999999996     , 15999.999999999996      , 15999.999999999996    ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7424.5(10)  ,    7424.5 ,  7.4245            ,   1.0               , 0.001                , False           , True                  ,                 , False               ,                       ,         1957.0
252Fm  , Fm    , 100, 152, 252, False           , False                , 25.38(12) h         , 91368.0               , 432.0                 , 432.0                 , 432.0                 , h          ,                 , False           , 0^+           , False        , "alpha, SF; beta^-, SF"         , 100/2.3E-3; 1.7E-4/<3.0E-6     ,          100.0 ,                         ,                          ,                    ,                  , False            , 91368.0               , 432.0                  , 432.0                   , 432.0                 ,                       , False                 , 3e-06       ,                      ,                       ,                 , <             , False         , 3045599999999.9995    , 14399999999.999998    , 14399999999.999998    , 14399999999.999998    , >                  , False              , 7135.7(10)  ,    7135.7 ,  7.1357            ,   1.0               , 0.001                , False           , True                  ,                 , False               ,                       ,         1956.0
253Fm  , Fm    , 100, 153, 253, False           , False                , 3.00(12) d          , 259200.0              , 10368.0               , 10368.0               , 10368.0               , d          ,                 , False           , 1/2^+         , False        , "alpha, EC"                     , 12/88                          ,           12.0 ,                         ,                          ,                    ,                  , False            , 2160000.0             , 86400.0                , 86400.0                 , 86400.0               ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7197.9 (10) ,    7197.9 ,  7.1979            ,   1.0               , 0.001                , False           , True                  ,                 , False               ,                       ,         1957.0
254Fm  , Fm    , 100, 154, 254, False           , False                , 3.240(2) h          , 11664.0               , 7.2                   , 7.2                   , 7.2                   , h          ,                 , False           , 0^+           , False        , "alpha, SF; beta^-, SF"         , 99.94/0.06; 1.7E-4/<3.0E-6     ,           99.94,                         ,                          ,                    ,                  , False            , 11671.002601560936    , 7.2043225935561335     , 7.2043225935561335      , 7.2043225935561335    ,                       , False                 , 3e-06       ,                      ,                       ,                 , <             , False         , 388799999999.99994    , 239999999.99999997    , 239999999.99999997    , 239999999.99999997    , >                  , False              , 7307.3(10)  ,    7307.3 ,  7.307300000000001 ,   1.0               , 0.001                , False           , True                  ,                 , False               ,                       ,         1954.0
255Fm  , Fm    , 100, 155, 255, False           , False                , 27.07(7) h          , 97452.0               , 252.00000000000003    , 252.00000000000003    , 252.00000000000003    , h          ,                 , False           , 7/2^+         , False        , "alpha, SF"                     , 100/2.4E-5                     ,          100.0 ,                         ,                          ,                    ,                  , False            , 97452.0               , 252.00000000000003     , 252.00000000000003      , 252.00000000000003    ,                       , False                 , 2.4e-05     ,                      ,                       ,                 ,               , False         , 406049999999.99994    , 1050000000.0          , 1050000000.0          , 1050000000.0          ,                    , False              , 7240.6(5)   ,    7240.6 ,  7.240600000000001 ,   0.5               , 0.0005               , False           , True                  ,                 , False               ,                       ,         1954.0
256Fm  , Fm    , 100, 156, 256, False           , False                , 157.1(12) min       , 9426.0                , 72.00000000000001     , 72.00000000000001     , 72.00000000000001     , min        ,                 , False           , 0^+           , False        , "alpha, SF; beta^-, SF"         , 91.90/8.10; 1.7E-4/<3.0E-6     ,           91.9 ,                         ,                          ,                    ,                  , False            , 10256.800870511424    , 78.34602829162134      , 78.34602829162134       , 78.34602829162134     ,                       , False                 , 3e-06       ,                      ,                       ,                 , <             , False         , 314199999999.99994    , 2400000000.0          , 2400000000.0          , 2400000000.0          , >                  , False              , 7025.3(19)  ,    7025.3 ,  7.0253000000000005,   1.9000000000000001, 0.0019000000000000002, False           , True                  ,                 , False               ,                       ,         1954.0
257Fm  , Fm    , 100, 157, 257, False           , False                , 100.5(2) d          , 8683200.0             , 17280.0               , 17280.0               , 17280.0               , d          ,                 , False           , 9/2^+         , False        , "alpha , SF"                    , 99.79/0.21                     ,           99.79,                         ,                          ,                    ,                  , False            , 8701473.093496343     , 17316.36436516685      , 17316.36436516685       , 17316.36436516685     ,                       , False                 , 0.21        ,                      ,                       ,                 ,               , False         , 4134857142.857143     , 8228571.428571428     , 8228571.428571428     , 8228571.428571428     ,                    , False              , 6863.7(9)   ,    6863.7 ,  6.8637            ,   0.9               , 0.0009               , False           , True                  ,                 , False               ,                       ,         1964.0
258Fm  , Fm    , 100, 158, 258, False           , False                , 370(140) us         , 0.00037               , 0.00014               , 0.00014               , 0.00014               , us         ,                 , False           , 0^+           , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.00037               , 0.00014               , 0.00014               , 0.00014               ,                    , False              , 6660(200)#  ,    6660.0 ,  6.66              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1971.0
259Fm  , Fm    , 100, 159, 259, False           , False                , 1.5(2) s            , 1.5                   , 0.2                   , 0.2                   , 0.2                   , s          ,                 , False           ,               , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 1.5                   , 0.2                   , 0.2                   , 0.2                   ,                    , False              , 6470(200)#  ,    6470.0 ,  6.47              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1980.0
244Md  , Md    , 101, 143, 244, False           , False                , 0.30^+0.19_-0.09 s  , 0.3                   , 0.19                  , 0.09                  , 0.14                  , s          ,                 , False           , 3^+ #         , True         , "alpha, EC"                     , approx 100/<14                 ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.3                   , 0.19000000000000003    , 0.09                    , 0.14                  , approx                , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8950(80)    ,    8950.0 ,  8.95              ,  80.0               , 0.08                 , False           , True                  ,                 , True                , Jpi                   ,         2020.0
245Md  , Md    , 101, 144, 245, False           , False                , 0.33^+0.15_-0.08 s  , 0.33                  , 0.15                  , 0.08                  , 0.11499999999999999   , s          ,                 , False           , (7/2^-)       , False        , "alpha, SF"                     , ?/?                            ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 9010(12)    ,    9010.0 ,  9.01              ,  12.0               , 0.012                , False           , True                  ,                 , False               ,                       ,         1996.0
247Md  , Md    , 101, 146, 247, False           , False                , 1.20(12) s^c        , 1.2                   , 0.12                  , 0.12                  , 0.12                  , s          ,                 , False           , 7/2^-         , False        , "alpha, SF"                     , 99.14/0.86                     ,           99.14,                         ,                          ,                    ,                  , False            , 1.2104095218882387    , 0.12104095218882388    , 0.12104095218882388     , 0.12104095218882388   ,                       , False                 , 0.86        ,                      ,                       ,                 ,               , False         , 139.53488372093022    , 13.953488372093023    , 13.953488372093023    , 13.953488372093023    ,                    , False              , 8764(10)    ,    8764.0 ,  8.764             ,  10.0               , 0.01                 , False           , True                  ,                 , False               ,                       ,         1981.0
248Md  , Md    , 101, 147, 248, False           , False                , 7(3) s              , 7.0                   , 3.0                   , 3.0                   , 3.0                   , s          ,                 , False           ,               , False        , "alpha, EC"                     , 20/80                          ,           20.0 ,                         ,                          ,                    ,                  , False            , 35.0                  , 15.0                   , 15.0                    , 15.0                  ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8500(30)    ,    8500.0 ,  8.5               ,  30.0               , 0.03                 , False           , True                  ,                 , False               ,                       ,         1973.0
