isotope, symbol, Z  , N  , A  , is_parenthesized, mass_number_uncertain, T_half_raw          , T_half_s              , T_half_err_plus_s     , T_half_err_minus_s    , T_half_err_s          , T_half_unit, T_half_qualifier, T_half_estimated, Jpi_raw       , Jpi_estimated, decay_modes_raw                 , branching_raw                  , b_alpha_percent, b_alpha_err_plus_percent, b_alpha_err_minus_percent, b_alpha_err_percent, b_alpha_qualifier, b_alpha_estimated, T_alpha_half_s        , T_alpha_half_err_plus_s, T_alpha_half_err_minus_s, T_alpha_half_err_s    , T_alpha_half_qualifier, T_alpha_half_estimated, b_SF_percent, b_SF_err_plus_percent, b_SF_err_minus_percent, b_SF_err_percent, b_SF_qualifier, b_SF_estimated, T_SF_half_s           , T_SF_half_err_plus_s  , T_SF_half_err_minus_s , T_SF_half_err_s       , T_SF_half_qualifier, T_SF_half_estimated, Qalpha_raw  , Qalpha_keV, Qalpha_MeV         , Qalpha_err_keV      , Qalpha_err_MeV       , Qalpha_estimated, Qalpha_is_experimental, Qalpha_qualifier, has_estimated_marker, nonexperimental_fields, discovery_year
267Db  , Db    , 105, 162, 267, False           , False                , 1.4^+1.0_-0.4 h     , 5040.0                , 3600.0                , 1440.0                , 2520.0                , h          ,                 , False           ,               , False        , "EC, SF"                        , ?/100                          ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 5040.0                , 3600.0                , 1440.0                , 2520.0                ,                    , False              , 7920(300)#  ,    7920.0 ,  7.92              , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         2004.0
268Db  , Db    , 105, 163, 268, False           , False                , 16^+6_-4 h          , 57600.0               , 21600.0               , 14400.0               , 18000.0               , h          ,                 , False           ,               , False        , "alpha, EC, SF"                 , 51/?/49                        ,           51.0 ,                         ,                          ,                    ,                  , False            , 112941.17647058824    , 42352.94117647059      , 28235.29411764706       , 35294.117647058825    ,                       , False                 , 49.0        ,                      ,                       ,                 ,               , False         , 117551.02040816327    , 44081.63265306123     , 29387.755102040817    , 36734.69387755102     ,                    , False              , 7700-8100   ,    7700.0 ,  7.7               ,                     ,                      , False           , True                  ,                 , False               ,                       ,         2004.0
270Db  , Db    , 105, 165, 270, False           , False                , 1.0^+1.9_-0.4 h     , 3600.0                , 6840.0                , 1440.0                , 4140.0                , h          ,                 , False           ,               , False        , "alpha, SF"                     , 17/83                          ,           17.0 ,                         ,                          ,                    ,                  , False            , 21176.470588235294    , 40235.294117647056     , 8470.588235294117       , 24352.941176470587    ,                       , False                 , 83.0        ,                      ,                       ,                 ,               , False         , 4337.349397590362     , 8240.963855421687     , 1734.939759036145     , 4987.951807228916     ,                    , False              , 8019(30)    ,    8019.0 ,  8.019             ,  30.0               , 0.03                 , False           , True                  ,                 , False               ,                       ,         2004.0
257Sg  , Sg    , 106, 151, 257, False           , False                , 12.6^+3.7_-2.3 ms   , 0.0126                , 0.0037                , 0.0023                , 0.003                 , ms         ,                 , False           , (9/2^-)       , False        , "alpha, SF"                     , approx 10/approx 90            ,           10.0 ,                         ,                          ,                    , approx           , False            , 0.126                 , 0.037000000000000005   , 0.023                   , 0.030000000000000002  , approx                , False                 , 90.0        ,                      ,                       ,                 , approx        , False         , 0.014                 , 0.004111111111111111  , 0.0025555555555555553 , 0.003333333333333333  , approx             , False              , 9450(70)    ,    9450.0 ,  9.45              ,  70.0               , 0.07                 , False           , True                  ,                 , False               ,                       ,         2025.0
258Sg  , Sg    , 106, 152, 258, False           , False                , 2.7^+0.5_-0.4 ms    , 0.0027                , 0.0005                , 0.0004                , 0.00045               , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , ?/100                          ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.0027                , 0.0005                , 0.0004                , 0.00045               ,                    , False              , 9670(300)#  ,    9670.0 ,  9.67              , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         1997.0
259Sg  , Sg    , 106, 153, 259, False           , False                , 402(56) ms          , 0.402                 , 0.056                 , 0.056                 , 0.056                 , ms         ,                 , False           , (11/2^-)      , False        , "alpha, EC, SF^r"               , 100/?/?                        ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.402                 , 0.05600000000000001    , 0.05600000000000001     , 0.05600000000000001   ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 9765(8)     ,    9765.0 ,  9.765             ,   8.0               , 0.008                , False           , True                  ,                 , False               ,                       ,         1985.0
260Sg  , Sg    , 106, 154, 260, False           , False                , 4.95(33) ms         , 0.00495               , 0.00033               , 0.00033               , 0.00033               , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 71/29                          ,           71.0 ,                         ,                          ,                    ,                  , False            , 0.006971830985915494  , 0.0004647887323943663  , 0.0004647887323943663   , 0.0004647887323943663 ,                       , False                 , 29.0        ,                      ,                       ,                 ,               , False         , 0.017068965517241384  , 0.0011379310344827589 , 0.0011379310344827589 , 0.0011379310344827589 ,                    , False              , 9901(10)    ,    9901.0 ,  9.901             ,  10.0               , 0.01                 , False           , True                  ,                 , False               ,                       ,         1984.0
261Sg  , Sg    , 106, 155, 261, False           , False                , 183(5) s            , 183.0                 , 5.0                   , 5.0                   , 5.0                   , s          ,                 , False           , (3/2^+)       , False        , "alpha, EC, SF"                 , 98.1/1.3/0.6                   ,           98.1 ,                         ,                          ,                    ,                  , False            , 186.54434250764527    , 5.096839959225281      , 5.096839959225281       , 5.096839959225281     ,                       , False                 , 0.6         ,                      ,                       ,                 ,               , False         , 30500.0               , 833.3333333333333     , 833.3333333333333     , 833.3333333333333     ,                    , False              , 9714(15)    ,    9714.0 ,  9.714             ,  15.0               , 0.015                , False           , True                  ,                 , False               ,                       ,         1984.0
262Sg  , Sg    , 106, 156, 262, False           , False                , 8.5^+2.3_-1.5 ms    , 0.0085                , 0.0023                , 0.0015                , 0.0019                , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 6/94                           ,            6.0 ,                         ,                          ,                    ,                  , False            , 0.1416666666666667    , 0.03833333333333334    , 0.025                   , 0.03166666666666667   ,                       , False                 , 94.0        ,                      ,                       ,                 ,               , False         , 0.009042553191489363  , 0.002446808510638298  , 0.0015957446808510637 , 0.002021276595744681  ,                    , False              , 9600(15)    ,    9600.0 ,  9.6               ,  15.0               , 0.015                , False           , True                  ,                 , False               ,                       ,         2001.0
263Sg  , Sg    , 106, 157, 263, False           , False                , 0.94(14) s          , 0.94                  , 0.14                  , 0.14                  , 0.14                  , s          ,                 , False           , 3/2^+#        , True         , "alpha, SF"                     , 87/13                          ,           87.0 ,                         ,                          ,                    ,                  , False            , 1.0804597701149425    , 0.16091954022988508    , 0.16091954022988508     , 0.16091954022988508   ,                       , False                 , 13.0        ,                      ,                       ,                 ,               , False         , 7.23076923076923      , 1.0769230769230769    , 1.0769230769230769    , 1.0769230769230769    ,                    , False              , 9400(60)    ,    9400.0 ,  9.4               ,  60.0               , 0.06                 , False           , True                  ,                 , True                , Jpi                   ,         1974.0
264Sg  , Sg    , 106, 158, 264, False           , False                , 68^+32_-16 ms       , 0.068                 , 0.032                 , 0.016                 , 0.024                 , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , ?/>80                          ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 , 80.0        ,                      ,                       ,                 , >             , False         , 0.085                 , 0.04                  , 0.02                  , 0.03                  , <                  , False              , 9210(200)#  ,    9210.0 ,  9.21              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         2006.0
266Sg  , Sg    , 106, 160, 266, False           , False                , 0.34^+0.12_-0.09 s  , 0.34                  , 0.12                  , 0.09                  , 0.105                 , s          ,                 , False           , 0^+           , False        , SF                              , >90                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 90.0        ,                      ,                       ,                 , >             , False         , 0.37777777777777777   , 0.1333333333333333    , 0.09999999999999998   , 0.11666666666666664   , <                  , False              , 8800(100)#  ,    8800.0 ,  8.8               , 100.0               , 0.1                  , True            , False                 ,                 , True                , Qalpha                ,         2006.0
267Sg  , Sg    , 106, 161, 267, False           , False                , 9.8^+11.3_-4.5 min  , 588.0                 , 678.0                 , 270.0                 , 474.0                 , min        ,                 , False           , (9/2)         , False        , "alpha, SF"                     , 17/83                          ,           17.0 ,                         ,                          ,                    ,                  , False            , 3458.8235294117644    , 3988.235294117647      , 1588.235294117647       , 2788.235294117647     ,                       , False                 , 83.0        ,                      ,                       ,                 ,               , False         , 708.4337349397591     , 816.8674698795182     , 325.30120481927713    , 571.0843373493976     ,                    , False              , 8400(20)    ,    8400.0 ,  8.4               ,  20.0               , 0.02                 , False           , True                  ,                 , False               ,                       ,         2008.0
268Sg  , Sg    , 106, 162, 268, False           , False                , 13^+17_-4 s         , 13.0                  , 17.0                  , 4.0                   , 10.5                  , s          ,                 , False           ,               , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 13.0                  , 17.0                  , 4.0                   , 10.5                  ,                    , False              , 8300(300)#  ,    8300.0 ,  8.3               , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         2023.0
269Sg  , Sg    , 106, 163, 269, False           , False                , 3.1^+3.7_-1.1 min   , 186.0                 , 222.0                 , 66.0                  , 144.0                 , min        ,                 , False           ,               , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 186.0                 , 222.0                  , 66.0                    , 144.0                 ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8580(70)    ,    8580.0 ,  8.58              ,  70.0               , 0.07                 , False           , True                  ,                 , False               ,                       ,         2010.0
271Sg  , Sg    , 106, 165, 271, False           , False                , 31^+13_-7 s         , 31.0                  , 13.0                  , 7.0                   , 10.0                  , s          ,                 , False           ,               , False        , "alpha, SF"                     , 73/27                          ,           73.0 ,                         ,                          ,                    ,                  , False            , 42.465753424657535    , 17.808219178082194     , 9.58904109589041        , 13.698630136986303    ,                       , False                 , 27.0        ,                      ,                       ,                 ,               , False         , 114.81481481481481    , 48.148148148148145    , 25.925925925925924    , 37.03703703703704     ,                    , False              , 8629(16)    ,    8629.0 ,  8.629             ,  16.0               , 0.016                , False           , True                  ,                 , False               ,                       ,         2004.0
260Bh  , Bh    , 107, 153, 260, False           , False                , 35^+19_-9 ms        , 0.035                 , 0.019                 , 0.009000000000000001  , 0.014                 , ms         ,                 , False           ,               , False        , "alpha, EC, SF"                 , approx 100/?                   ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.035                 , 0.019                  , 0.009000000000000001    , 0.014                 , approx                , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 10400(60)   ,   10400.0 , 10.4               ,  60.0               , 0.06                 , False           , True                  ,                 , False               ,                       ,         2008.0
261Bh  , Bh    , 107, 154, 261, False           , False                , 11.8^+3.9_-2.4 ms   , 0.011800000000000001  , 0.0039                , 0.0024                , 0.00315               , ms         ,                 , False           ,               , False        , "alpha, SF"                     , approx 100/?                   ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.011800000000000001  , 0.0039                 , 0.0024                  , 0.00315               , approx                , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , approx 10160,   10160.0 , 10.16              ,                     ,                      , False           , True                  , approx          , False               ,                       ,         1986.0
262Bh  , Bh    , 107, 155, 262, False           , True                 , 96^+18_-13 ms       , 0.096                 , 0.018000000000000002  , 0.013000000000000001  , 0.015500000000000002  , ms         ,                 , False           ,               , False        , "alpha, SF"                     , approx 100/?                   ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.096                 , 0.018000000000000002   , 0.013000000000000003    , 0.015500000000000003  , approx                , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , approx 10080,   10080.0 , 10.08              ,                     ,                      , False           , True                  , approx          , False               ,                       ,         1981.0
262Bh  , Bh    , 107, 155, 262, False           , True                 , 21^+8_-5 ms         , 0.021                 , 0.008                 , 0.005                 , 0.006500000000000001  , ms         ,                 , False           ,               , False        , "alpha, SF"                     , approx 100/?                   ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.021                 , 0.008                  , 0.005                   , 0.006500000000000001  , approx                , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , approx 10550,   10550.0 , 10.55              ,                     ,                      , False           , True                  , approx          , False               ,                       ,         1981.0
264Bh  , Bh    , 107, 157, 264, False           , False                , 0.99^+0.23_-0.18 s  , 0.99                  , 0.23                  , 0.18                  , 0.20500000000000002   , s          ,                 , False           ,               , False        , "alpha, SF"                     , 86/14                          ,           86.0 ,                         ,                          ,                    ,                  , False            , 1.1511627906976745    , 0.2674418604651163     , 0.20930232558139536     , 0.23837209302325585   ,                       , False                 , 14.0        ,                      ,                       ,                 ,               , False         , 7.07142857142857      , 1.6428571428571428    , 1.2857142857142856    , 1.4642857142857142    ,                    , False              , 9860(150)#  ,    9860.0 ,  9.86              , 150.0               , 0.15                 , True            , False                 ,                 , True                , Qalpha                ,         1995.0
265Bh  , Bh    , 107, 158, 265, False           , False                , 0.94^+0.70_-0.31 s  , 0.94                  , 0.7                   , 0.31                  , 0.505                 , s          ,                 , False           , 5/2^-#        , True         , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.94                  , 0.7                    , 0.31                    , 0.505                 ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9660(210)#  ,    9660.0 ,  9.66              , 210.0               , 0.21                 , True            , False                 ,                 , True                , Qalpha;Jpi            ,         2004.0
266Bh  , Bh    , 107, 159, 266, False           , False                , 10^+2.7_-1.6 s      , 10.0                  , 2.7                   , 1.6                   , 2.1500000000000004    , s          ,                 , False           ,               , False        , "alpha, EC, SF"                 , 100/?/?                        ,          100.0 ,                         ,                          ,                    ,                  , False            , 10.0                  , 2.7                    , 1.6                     , 2.1500000000000004    ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 9430(80)#   ,    9430.0 ,  9.43              ,  80.0               , 0.08                 , True            , False                 ,                 , True                , Qalpha                ,         2000.0
267Bh  , Bh    , 107, 160, 267, False           , False                , 16^+7_-4 s          , 16.0                  , 7.0                   , 4.0                   , 5.5                   , s          ,                 , False           , 5/2^-#        , True         , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 16.0                  , 7.0                    , 4.0                     , 5.5                   ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9230(200)#  ,    9230.0 ,  9.23              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha;Jpi            ,         2000.0
270Bh  , Bh    , 107, 163, 270, False           , False                , 2.4^+4.4_-0.9 min   , 144.0                 , 264.0                 , 54.0                  , 159.0                 , min        ,                 , False           ,               , False        , alpha                           , approx 100                     ,          100.0 ,                         ,                          ,                    , approx           , False            , 144.0                 , 264.0                  , 54.0                    , 159.0                 , approx                , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9060(100)   ,    9060.0 ,  9.06              , 100.0               , 0.1                  , False           , True                  ,                 , False               ,                       ,         2007.0
271Bh  , Bh    , 107, 164, 271, False           , False                , 2.9^+2.2_-0.9 s     , 2.9                   , 2.2                   , 0.9                   , 1.55                  , s          ,                 , False           ,               , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 2.9                   , 2.2                    , 0.9                     , 1.55                  ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9420(90)    ,    9420.0 ,  9.42              ,  90.0               , 0.09                 , False           , True                  ,                 , False               ,                       ,         2013.0
272Bh  , Bh    , 107, 165, 272, False           , False                , 8.8(0.7) s          , 8.8                   , 0.7                   , 0.7                   , 0.7                   , s          ,                 , False           ,               , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 8.8                   , 0.7                    , 0.7                     , 0.7                   ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9300(50)    ,    9300.0 ,  9.3               ,  50.0               , 0.05                 , False           , True                  ,                 , False               ,                       ,         2004.0
274Bh  , Bh    , 107, 167, 274, False           , False                , 44^+34_-13 s        , 44.0                  , 34.0                  , 13.0                  , 23.5                  , s          ,                 , False           ,               , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 44.0                  , 34.0                   , 13.0                    , 23.5                  ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8940(60)    ,    8940.0 ,  8.94              ,  60.0               , 0.06                 , False           , True                  ,                 , False               ,                       ,         2010.0
263Hs  , Hs    , 108, 155, 263, False           , False                , 0.74^+0.48_-0.21 ms , 0.00074               , 0.00048               , 0.00021               , 0.00034500000000000004, ms         ,                 , False           , 3/2^+#        , True         , "alpha, SF"                     , 100/?                          ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.00074               , 0.00048                , 0.00021000000000000004  , 0.00034500000000000004,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 10730(80)   ,   10730.0 , 10.73              ,  80.0               , 0.08                 , False           , True                  ,                 , True                , Jpi                   ,         2009.0
264Hs  , Hs    , 108, 156, 264, False           , False                , 0.63^+0.34_-0.16 ms , 0.00063               , 0.00034               , 0.00016               , 0.00025               , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 70/30                          ,           70.0 ,                         ,                          ,                    ,                  , False            , 0.0009000000000000001 , 0.0004857142857142857  , 0.00022857142857142857  , 0.00035714285714285714,                       , False                 , 30.0        ,                      ,                       ,                 ,               , False         , 0.0021000000000000003 , 0.0011333333333333334 , 0.0005333333333333334 , 0.0008333333333333334 ,                    , False              , 10591(20)   ,   10591.0 , 10.591             ,  20.0               , 0.02                 , False           , True                  ,                 , False               ,                       ,         1986.0
265Hs  , Hs    , 108, 157, 265, False           , False                , 1.9^+0.2_-0.1 ms    , 0.0019                , 0.0002                , 0.0001                , 0.00015000000000000001, ms         ,                 , False           , 3/2^+#        , True         , "alpha, SF"                     , 100/?                          ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.0019                , 0.0002                 , 0.0001                  , 0.00015000000000000001,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 10470(15)   ,   10470.0 , 10.47              ,  15.0               , 0.015                , False           , True                  ,                 , True                , Jpi                   ,         1984.0
266Hs  , Hs    , 108, 158, 266, False           , False                , 0.74^+0.48_-0.21 ms , 0.00074               , 0.00048               , 0.00021               , 0.00034500000000000004, ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 76/24                          ,           76.0 ,                         ,                          ,                    ,                  , False            , 0.0009736842105263157 , 0.0006315789473684211  , 0.00027631578947368425  , 0.0004539473684210527 ,                       , False                 , 24.0        ,                      ,                       ,                 ,               , False         , 0.0030833333333333333 , 0.002                 , 0.0008750000000000001 , 0.0014375             ,                    , False              , 10346(16)   ,   10346.0 , 10.346             ,  16.0               , 0.016                , False           , True                  ,                 , False               ,                       ,         2001.0
267Hs  , Hs    , 108, 159, 267, False           , False                , 53^+12_-8 ms        , 0.053                 , 0.012                 , 0.008                 , 0.01                  , ms         ,                 , False           ,               , False        , "alpha, SF"                     , >80/?                          ,           80.0 ,                         ,                          ,                    , >                , False            , 0.06624999999999999   , 0.014999999999999998   , 0.009999999999999998    , 0.012499999999999997  , <                     , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 10038(13)   ,   10038.0 , 10.038             ,  13.0               , 0.013                , False           , True                  ,                 , False               ,                       ,         1995.0
268Hs  , Hs    , 108, 160, 268, False           , False                , 0.4^+1.8_-0.2 s     , 0.4                   , 1.8                   , 0.2                   , 1.0                   , s          ,                 , False           , 0^+           , False        , alpha                           , approx 100                     ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.4                   , 1.8                    , 0.2                     , 1.0                   , approx                , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9623(16)    ,    9623.0 ,  9.623             ,  16.0               , 0.016                , False           , True                  ,                 , False               ,                       ,         2010.0
269Hs  , Hs    , 108, 161, 269, False           , False                , 13^+10_-4 s         , 13.0                  , 10.0                  , 4.0                   , 7.0                   , s          ,                 , False           , 9/2^+#        , True         , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 13.0                  , 10.0                   , 4.0                     , 7.0                   ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9340(40)    ,    9340.0 ,  9.34              ,  40.0               , 0.04                 , False           , True                  ,                 , True                , Jpi                   ,         1996.0
270Hs  , Hs    , 108, 162, 270, False           , False                , 7.6^+4.9_-2.2 s     , 7.6                   , 4.9                   , 2.2                   , 3.5500000000000003    , s          ,                 , False           , 0^+           , False        , "alpha, SF"                     , 100/?                          ,          100.0 ,                         ,                          ,                    ,                  , False            , 7.6                   , 4.9                    , 2.2                     , 3.5500000000000003    ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 9070(40)    ,    9070.0 ,  9.07              ,  40.0               , 0.04                 , False           , True                  ,                 , False               ,                       ,         2006.0
271Hs  , Hs    , 108, 163, 271, False           , False                , 7.1^+8.4_-2.5 s     , 7.1                   , 8.4                   , 2.5                   , 5.45                  , s          ,                 , False           , (11/2)        , False        , alpha                           ,                                ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9480(20)    ,    9480.0 ,  9.48              ,  20.0               , 0.02                 , False           , True                  ,                 , False               ,                       ,         2008.0
272Hs  , Hs    , 108, 164, 272, False           , False                , 0.16^+0.19_-0.06 s  , 0.16                  , 0.19                  , 0.06                  , 0.125                 , s          ,                 , False           , 0^+           , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.16                  , 0.19                   , 0.06                    , 0.125                 ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9772(21)    ,    9772.0 ,  9.772             ,  21.0               , 0.021                , False           , True                  ,                 , False               ,                       ,         2023.0
273Hs  , Hs    , 108, 165, 273, False           , False                , 0.51^+0.30_-0.13 s^t, 0.51                  , 0.3                   , 0.13                  , 0.215                 , s          ,                 , False           ,               , False        , "alpha, SF"                     , 100/?                          ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.51                  , 0.3                    , 0.13                    , 0.215                 ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 9650(60)    ,    9650.0 ,  9.65              ,  60.0               , 0.06                 , False           , True                  ,                 , False               ,                       ,         2010.0
275Hs  , Hs    , 108, 167, 275, False           , False                , 0.15^+0.27_-0.06 s  , 0.15                  , 0.27                  , 0.06                  , 0.165                 , s          ,                 , False           ,               , False        , "alpha, SF"                     , >89/<11                        ,           89.0 ,                         ,                          ,                    , >                , False            , 0.16853932584269662   , 0.30337078651685395    , 0.06741573033707865     , 0.1853932584269663    , <                     , False                 , 11.0        ,                      ,                       ,                 , <             , False         , 1.3636363636363635    , 2.4545454545454546    , 0.5454545454545454    , 1.5                   , >                  , False              , 9450(50)    ,    9450.0 ,  9.45              ,  50.0               , 0.05                 , False           , True                  ,                 , False               ,                       ,         2004.0
277Hs  , Hs    , 108, 169, 277, False           , False                , 3^+15_-1 ms         , 0.003                 , 0.015                 , 0.001                 , 0.008                 , ms         ,                 , False           ,               , False        , "alpha, SF"                     , ?/100                          ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.003                 , 0.015                 , 0.001                 , 0.008                 ,                    , False              , 9030(200)#  ,    9030.0 ,  9.03              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         2010.0
266Mt  , Mt    , 109, 157, 266, False           , False                , 1.7^+0.6_-0.4 ms    , 0.0017                , 0.0006                , 0.0004                , 0.0005                , ms         ,                 , False           ,               , False        , "alpha, SF"                     , approx 100/?                   ,          100.0 ,                         ,                          ,                    , approx           , False            , 0.0017                , 0.0006                 , 0.0004                  , 0.0005                , approx                , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 10996(25)   ,   10996.0 , 10.996             ,  25.0               , 0.025                , False           , True                  ,                 , False               ,                       ,         1982.0
