idx	impl	1H_DSSD_E	1H_Veto_E	2H_DSSD_E	2H_Veto_E	3H_DSSD_E	3H_Veto_E	3He_DSSD_E	3He_Veto_E	4He_DSSD_E	4He_Veto_E
130	13000000	2116940	2479258	3791440	5457250	5303837	7696163	13000000	0	13000000	0
131	13100000	2102880	2346309	3688893	5771061	5324510	7775490	13100000	0	13100000	0
132	13200000	2050980	2456718	3545913	5285359	5246745	7953255	13200000	0	13200000	0
133	13300000	2121570	2414912	3616476	5298337	5273506	8026494	13300000	0	13300000	0
134	13400000	1934210	2298181	3666006	5126078	5254435	8145565	13400000	0	13400000	0
135	13500000	1894480	2217562	3561362	5035191	5098730	8401270	13500000	0	13500000	0
136	13600000	1852550	2315843	3459910	4972316	5142386	8457614	13600000	0	13600000	0
137	13700000	1916810	2397012	3690890	5095692	4995831	8704169	13700000	0	13700000	0
138	13800000	2045560	2290913	3505420	5042154	4994161	8805839	13800000	0	13800000	0
139	13900000	2135190	2336589	3618210	4821853	4866702	9033298	13900000	0	13900000	0
140	14000000	2008500	2359711	3687810	4918820	4993378	9006622	14000000	0	14000000	0
141	14100000	1932600	2276642	3292730	4597658	4925105	9174895	14100000	0	14100000	0
142	14200000	2030100	2290664	3481320	4586887	4905339	9294661	14200000	0	14200000	0
143	14300000	2016550	2302668	3343890	4561475	4958692	9285681.06	14300000	0	14300000	0
144	14400000	1966470	2150130	3423800	4541068	4752377	8265722	14400000	0	14400000	0
145	14500000	2138380	2364430	3330760	4472334	4819293	8438043	14500000	0	14500000	0
146	14600000	1873710	2226820	3226780	4308893	4871207	8156811	14600000	0	14600000	0
147	14700000	1929240	2184280	3332590	4318912	4760558	7857219	14700000	0	14700000	0
148	14800000	1734040	2145480	3352520	4368403	4710710	7351125	14800000	0	14800000	0
149	14900000	1909870	2071350	3404110	4264651	4677550	7504485	14900000	0	14900000	0
150	15000000	1836050	1954240	3322870	4372753	4538210	7085824	15000000	0	15000000	0
151	15100000	1809680	2100120	3272160	4241740	4584310	7007394	15100000	0	15100000	0
152	15200000	1801060	2040490	3255320	4058704	4724480	7119706	15200000	0	15200000	0
153	15300000	1963280	2039150	3280260	3946721	4406050	6862749	15300000	0	15300000	0
154	15400000	1725840	2070870	3262800	3998489	4561770	6827799	15400000	0	15400000	0
155	15500000	1790980	2066140	3249420	3974223	4516980	6717419	15500000	0	15500000	0
156	15600000	1636840	1882170	3160050	3995385	4285750	6300140	15600000	0	15600000	0
157	15700000	1760310	2014380	3078900	3653244	4396090	6302808	15700000	0	15700000	0
158	15800000	1809670	2023880	3092160	3876325	4168740	6084879	15800000	0	15800000	0
159	15900000	1787490	2045040	2992820	3806094	4373200	6100156	15900000	0	15900000	0
160	16000000	1735330	2085880	2993110	3813468	4278740	6179788	16000000	0	16000000	0
161	16100000	1726890	1763930	2952410	3839138	4319580	6009793	16100000	0	16100000	0
162	16200000	1828360	2038210	3177170	3780384	4257990	5991464	16200000	0	16200000	0
163	16300000	1711390	1967580	3179970	3788991	4258420	5919461	16300000	0	16300000	0
164	16400000	1739320	1860400	3120100	3772435	4181280	5553880	16400000	0	16400000	0
165	16500000	1722450	1943510	3099210	3619275	4284110	5811312	16500000	0	16500000	0
166	16600000	1666570	1907780	3001690	3392430	4093360	5601612	16600000	0	16600000	0
167	16700000	1717820	1962400	2960180	3640910	4177740	5609435	16700000	0	16700000	0
168	16800000	1620850	1866550	3062630	3541180	4119070	5500020	16800000	0	16800000	0
169	16900000	1648690	1856590	2973640	3383160	4302880	5368009	16900000	0	16900000	0
170	17000000	1646700	1857080	2922760	3636140	4254580	5339998	17000000	0	17000000	0
171	17100000	1551750	1783390	2930420	3575130	3968330	5245263	17100000	0	17100000	0
172	17200000	1661640	1738410	2853120	3294460	3916430	5241736	17200000	0	17200000	0
173	17300000	1731470	1659560	2851200	3405150	4120010	5283543	17300000	0	17300000	0
174	17400000	1518440	1732220	2812030	3346270	3975850	4956711	17400000	0	17400000	0
175	17500000	1709440	1984010	2818920	3303090	3994530	5194074	17500000	0	17500000	0
176	17600000	1640500	1578370	2812970	3192530	4011530	4975337	17600000	0	17600000	0
177	17700000	1718630	1814070	2696110	3222790	3962170	5027111	17700000	0	17700000	0
178	17800000	1505390	1723880	2867550	3324820	3922360	4944573	17800000	0	17800000	0
179	17900000	1658750	1799420	2826980	3304360	3988380	4979364	17900000	0	17900000	0
180	18000000	1446500	1683250	2663520	3233380	3969950	4763374	18000000	0	18000000	0
181	18100000	1622220	1620100	2747860	3313490	3805290	4810922	18100000	0	18100000	0
182	18200000	1575490	1802990	2706730	3251020	3823310	4840077	18200000	0	18200000	0
183	18300000	1642840	1649120	2795390	3213460	3796530	4609477	18300000	0	18300000	0
184	18400000	1520580	1540790	2849210	3052900	3800290	4755606	18400000	0	18400000	0
