269Hs_初态_K,269Hs_初态_宇称,269Hs_初态_量子数,269Hs_初态_Ex(MeV),269Hs_末态_K,269Hs_末态_宇称,269Hs_末态_量子数,269Hs_末态_Ex(MeV),能级差_E(MeV)
2.5,-,752,1.751,1.5,-,741,1.702,0.049
0.5,-,501,1.751,1.5,-,741,1.702,0.049
3.5,+,613,0.085,0.5,+,620,0.041,0.044
0.5,+,620,0.041,1.5,+,622,0.0,0.041
2.5,-,743,1.739,1.5,-,741,1.702,0.037
5.5,-,725,0.118,3.5,+,613,0.085,0.033
4.5,+,615,1.011,4.5,+,604,0.983,0.028
4.5,+,615,1.011,2.5,+,613,0.987,0.024
0.5,-,741,1.642,3.5,-,743,1.619,0.023
0.5,+,611,1.637,3.5,-,743,1.619,0.018
5.5,+,606,1.181,1.5,+,611,1.163,0.018
4.5,+,615,1.011,4.5,-,734,0.997,0.014
4.5,-,734,0.997,4.5,+,604,0.983,0.014
2.5,-,752,1.751,2.5,-,743,1.739,0.012
0.5,-,501,1.751,2.5,-,743,1.739,0.012
4.5,-,734,0.997,2.5,+,613,0.987,0.01
0.5,-,741,1.642,0.5,+,611,1.637,0.005
2.5,+,613,0.987,4.5,+,604,0.983,0.004
