273Ds_K,273Ds_宇称,273Ds_量子数,273Ds_Ex(MeV),269Hs_K,269Hs_宇称,269Hs_量子数,269Hs_Ex(MeV),Q值(MeV),Alpha动能(MeV)
3.5,+,613,1.167,2.5,+,613,0.987,10.687,10.5304
4.5,+,615,1.171,4.5,-,734,0.997,10.681,10.5245
3.5,+,613,1.167,4.5,-,734,0.997,10.677,10.5206
4.5,+,615,1.171,4.5,+,615,1.011,10.667,10.5107
0.5,+,611,1.14,4.5,+,604,0.983,10.664,10.5078
3.5,+,613,1.167,4.5,+,615,1.011,10.663,10.5068
0.5,+,611,1.14,2.5,+,613,0.987,10.66,10.5038
4.5,+,604,0.53,6.5,-,716,0.385,10.652,10.4959
5.5,+,606,1.127,4.5,+,604,0.983,10.651,10.4949
4.5,-,734,1.846,1.5,-,741,1.702,10.651,10.4949
0.5,+,611,1.14,4.5,-,734,0.997,10.65,10.494
5.5,+,606,1.127,2.5,+,613,0.987,10.647,10.491
5.5,+,606,1.127,4.5,-,734,0.997,10.637,10.4811
0.5,+,611,1.14,4.5,+,615,1.011,10.636,10.4802
5.5,+,606,1.127,4.5,+,615,1.011,10.623,10.4674
4.5,-,734,1.846,2.5,-,743,1.739,10.614,10.4585
4.5,-,734,1.846,0.5,-,501,1.751,10.602,10.4467
4.5,-,734,1.846,2.5,-,752,1.751,10.602,10.4467
5.5,-,725,1.026,4.5,+,604,0.983,10.55,10.3954
5.5,-,725,1.026,2.5,+,613,0.987,10.546,10.3915
5.5,-,725,1.026,4.5,-,734,0.997,10.536,10.3816
4.5,-,734,1.846,1.5,-,761,1.825,10.528,10.3737
3.5,-,743,2.402,0.5,-,750,2.384,10.525,10.3708
5.5,-,725,1.026,4.5,+,615,1.011,10.522,10.3678
4.5,+,615,1.171,1.5,+,611,1.163,10.515,10.3609
1.5,-,761,2.389,0.5,-,750,2.384,10.512,10.358
3.5,+,613,1.167,1.5,+,611,1.163,10.511,10.357
0.5,-,770,2.384,0.5,-,750,2.384,10.507,10.3531
6.5,-,716,0.0,1.5,+,622,0.0,10.507,10.3531
2.5,-,752,2.381,0.5,-,750,2.384,10.504,10.3501
4.5,+,615,1.171,5.5,+,606,1.181,10.497,10.3432
3.5,+,613,1.167,5.5,+,606,1.181,10.493,10.3393
0.5,+,611,1.14,1.5,+,611,1.163,10.484,10.3304
5.5,+,606,1.127,1.5,+,611,1.163,10.471,10.3176
0.5,+,611,1.14,5.5,+,606,1.181,10.466,10.3127
6.5,-,716,0.0,0.5,+,620,0.041,10.466,10.3127
5.5,+,606,1.127,5.5,+,606,1.181,10.453,10.2998
6.5,-,716,0.0,3.5,+,613,0.085,10.422,10.2693
6.5,-,716,0.0,5.5,-,725,0.118,10.389,10.2368
5.5,-,725,1.026,1.5,+,611,1.163,10.37,10.2181
0.5,+,620,0.828,4.5,+,604,0.983,10.352,10.2003
5.5,-,725,1.026,5.5,+,606,1.181,10.352,10.2003
0.5,+,620,0.828,2.5,+,613,0.987,10.348,10.1964
1.5,+,622,0.817,4.5,+,604,0.983,10.341,10.1895
0.5,+,620,0.828,4.5,-,734,0.997,10.338,10.1865
1.5,+,622,0.817,2.5,+,613,0.987,10.337,10.1855
6.5,-,716,0.0,0.5,+,631,0.171,10.336,10.1846
1.5,+,622,0.817,4.5,-,734,0.997,10.327,10.1757
0.5,+,620,0.828,4.5,+,615,1.011,10.324,10.1727
