#######################################################
# nb20 stands for NUBASE20: G.                        #
# F. Kondev et al 2021 Chinese Phys. C 45 030001.     #
# min/max represent lower/upper limits from exp.      # 
#######################################################
# Z    A      Exp[s]      Err[s]  typ   ref    BSkG3[s]
103  254  1.2000E+04  9.0000E+02  min  nb20  2.3449e+00
103  256  9.3000E+04  3.3333E+03  min  nb20  6.5630e+01
103  259  2.8182E+01  1.3636E+00  equ  nb20  1.8674e+00
103  261  2.3400E+03  7.2000E-02  equ  nb20  3.8070e+01
103  266  7.9200E+04  5.0400E+00  equ  nb20  3.9599e+01
104  253  1.3000E-02  5.0000E-07  equ  nb20  3.8613e-04
104  254  2.2900E-05  1.0000E-06  equ  nb20  3.7188e-04
104  255  3.4534E+00  1.0593E-01  equ  nb20  2.0298e-03
104  256  6.6205E-03  5.0155E-05  equ  nb20  9.1100e-04
104  257  3.8462E+02  1.5385E+01  equ  nb20  3.1802e-01
104  258  1.3144E-02  5.2576E-04  equ  nb20  1.1832e-02
104  259  8.7667E+01  8.6667E+00  min  nb20  3.6858e+00
104  260  2.1000E-02  1.0000E-07  equ  nb20  6.1680e-01
104  262  2.5000E-01  1.0000E-05  equ  nb20  2.1428e+02
104  261  2.5610E+00  2.4390E-01  equ  nb20  1.9938e+00
104  263  6.6000E+02  1.8000E-02  equ  nb20  2.7516e-01
104  265  9.6000E+01  3.6000E+01  equ  nb20  1.4313e+01
104  267  9.0000E+03  5.4000E+03  equ  nb20  2.2059e+00
105  255  8.0597E-02  0.0000E+00  equ  nb20  2.9345e-05
105  260  1.5833E+01  1.3542E+00  equ  nb20  9.8008e+00
105  261  6.4384E+00  1.3699E+00  equ  nb20  2.8843e+01
105  262  6.5385E+01  7.6923E-04  equ  nb20  1.3925e+04
105  263  5.1786E+01  1.6071E-03  equ  nb20  3.9073e-01
105  267  7.2000E+03  3.9600E+03  equ  nb20  3.5240e+01
105  268  1.0440E+05  1.0800E+00  equ  nb20  1.0740e+02
105  270  7.0345E+03  4.1379E+03  equ  nb20  3.9616e+01
106  258  2.7000E-03  5.0000E-04  equ  nb20  5.4003e-05
106  260  6.9718E-03  4.6479E-04  equ  nb20  3.3895e-02
106  261  3.0500E+01  8.3333E-05  equ  nb20  6.0034e-01
106  262  1.0957E-02  1.8085E-03  equ  nb20  2.0000e-01
106  263  7.2308E+00  1.0769E-04  equ  nb20  1.1459e+01
106  264  9.7500E-02  3.1250E-06  max  nb20  9.3149e-01
106  266  4.3333E-01  1.2222E-05  max  nb20  5.4595e+00
106  267  1.3012E+02  5.0602E+01  equ  nb20  1.3640e+01
106  271  2.2759E+02  1.1379E+02  equ  nb20  5.2093e+01
107  262  4.2000E-01  5.5000E-06  min  nb20  1.6937e-01
107  264  7.6429E+00  1.5000E+00  equ  nb20  2.3478e+01
107  278  2.0000E+00  0.0000E+00  equ  nb20  2.4154e-06
108  264  2.3333E+00  1.0000E+00  equ  nb20  2.6254e-03
108  266  1.2500E-02  2.5000E-03  equ  nb20  3.1397e-02
108  277  1.2000E-02  9.0000E-07  equ  nb20  6.5916e-09
108  278  2.0000E+00  0.0000E+00  equ  nb20  2.1441e+00
109  277  9.0000E+00  6.0000E-04  equ  nb20  1.3732e-05
110  271  1.9199E-01  0.0000E+00  equ  nb20  3.4711e-04
110  279  2.3864E-01  4.5455E-06  equ  nb20  5.3625e-05
110  280  2.5000E-02  2.0000E-06  equ  nb20  3.2532e-09
110  281  1.5556E+01  3.3333E-04  equ  nb20  8.3948e-08
111  281  2.1839E+01  5.7471E-04  equ  nb20  4.4957e-06
112  282  1.1000E-03  3.0000E-04  equ  nb20  7.4980e-08
112  283  2.4737E+01  4.2105E+00  equ  nb20  3.1257e-03
112  284  1.0200E-01  1.7000E-06  equ  nb20  1.1364e-06
114  284  3.1000E-03  1.3000E-03  equ  nb20  1.4227e-07
114  285  1.0500E+00  5.0000E-05  min  nb20  1.0622e-02
114  286  3.1707E-01  7.3171E-06  equ  nb20  1.4227e-07
