name                 , method             , Ealpha, Texp    , Tcal                  , HF
257No->253Fm_1_upper , E. Rurarz          ,  8.222, 25.0    , 11.245855556605024    ,     2.6783628667558506
257No->253Fm_1_center, E. Rurarz          ,  8.222, 24.5    , 11.245855556605024    ,     2.6247956094207336
257No->253Fm_1_lower , E. Rurarz          ,  8.222, 24.0    , 11.245855556605024    ,     2.5712283520856167
257No->253Fm_2_upper , E. Rurarz          ,  8.323, 25.0    , 5.14420076145298      ,    28.587302546853746
257No->253Fm_2_center, E. Rurarz          ,  8.323, 24.5    , 5.14420076145298      ,    28.015556495916666
257No->253Fm_2_lower , E. Rurarz          ,  8.323, 24.0    , 5.14420076145298      ,    27.443810444979594
277Cn_l_upper        , Qi2009_UDL         , 11.11 ,  0.00107, 0.00010489541016913262,    10.200636979966422
277Cn_l_mean         , Qi2009_UDL         , 11.11 ,  0.00061, 0.00010489541016913262,     5.815316409139736
277Cn_l_lower        , Qi2009_UDL         , 11.11 ,  0.00043, 0.00010489541016913262,     4.099321403164076
277Cn_h_upper        , Qi2009_UDL         , 11.39 ,  0.00107, 2.3263050212911016e-05,    45.99568802057389
277Cn_h_mean         , Qi2009_UDL         , 11.39 ,  0.00061, 2.3263050212911016e-05,    26.221840834158943
277Cn_h_lower        , Qi2009_UDL         , 11.39 ,  0.00043, 2.3263050212911016e-05,    18.48424845686614
273Ds_a              , Qi2009_UDL         , 10.858,  0.00576, 0.00011242366703102127,    51.23476356993971
273Ds_a_upper        , Qi2009_UDL         , 10.858,  0.03339, 0.00011242366703102127,   297.00152006949423
273Ds_a_lower        , Qi2009_UDL         , 10.858,  0.00313, 0.00011242366703102127,    27.84111284269293
273Ds_b              , Qi2009_UDL         , 10.894,  0.017  , 9.204941508468844e-05 ,   184.68341145198426
273Ds_b_upper        , Qi2009_UDL         , 10.894,  0.049  , 9.204941508468844e-05 ,   532.322774185131
273Ds_b_lower        , Qi2009_UDL         , 10.894,  0.01   , 9.204941508468844e-05 ,   108.63730085410839
273Ds_c              , Qi2009_UDL         , 11.165,  0.00016, 2.1080113202171325e-05,     7.590092067604241
273Ds_c_upper        , Qi2009_UDL         , 11.165,  0.00024, 2.1080113202171325e-05,    11.38513810140636
273Ds_c_lower        , Qi2009_UDL         , 11.165,  0.00011, 2.1080113202171325e-05,     5.218188296477916
269Hs_a              , Qi2009_UDL         ,  9.13 ,  9.6    , 1.3758623716288265    ,     6.977442074118908
269Hs_a_upper        , Qi2009_UDL         ,  9.13 , 14.05   , 1.3758623716288265    ,    10.211777202226111
269Hs_a_lower        , Qi2009_UDL         ,  9.13 ,  6.92   , 1.3758623716288265    ,     5.02957282842738
269Hs_b              , Qi2009_UDL         ,  8.95 ,  6.49   , 5.021511374316386     ,     1.2924395697268594
269Hs_b_upper        , Qi2009_UDL         ,  8.95 , 37.58   , 5.021511374316386     ,     7.483802624088655
269Hs_b_lower        , Qi2009_UDL         ,  8.95 ,  3.52   , 5.021511374316386     ,     0.7009841734111779
265Sga->261Rfa_upper , Qi2009_UDL         ,  8.84 , 11.1    , 2.353629426750539     ,     5.182550005181866
265Sga->261Rfa_center, Qi2009_UDL         ,  8.84 ,  8.5    , 2.353629426750539     ,     3.968619373337465
265Sga->261Rfa_lower , Qi2009_UDL         ,  8.84 ,  6.9    , 2.353629426750539     ,     3.2215851383562946
265Sga->261Rfb_upper , Qi2009_UDL         ,  8.84 , 11.1    , 2.353629426750539     ,    52.401338941283306
