record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,method,method_slug,Qalpha_MeV,Ealpha_MeV,Qalpha_err_MeV,qalpha_estimated,Qalpha_qualifier,Talpha_partial_exp_s,Talpha_err_plus_s,Talpha_err_minus_s,Talpha_qualifier,decay_modes_raw,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,log10_Tcalc_s,Tcalc_s,log10_HF,HF,l_used,l_assumed,calculation_status,model_status,diagnostics_json,cell_record_index,cell_record_count,HF_definition,Qalpha_source_column,Talpha_source_column
source-row-0028,28,249Fm,,Fm,249,100,149,Poenaru,poenaru,7.709,,0.006,False,,615.384615385,38.4615384615,38.4615384615,,"alpha, EC",15.6,,,,1.48636811479,30.6455990197,1.3027785199,20.0806848314,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2624490846662873}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0029,29,250Fm,,Fm,250,100,150,Poenaru,poenaru,7.557,,0.008,False,,1860,66,66,,"alpha, EC, SF",100,0.0069,,,2.02977583421,107.096637167,1.23973711001,17.3674921005,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.25755314398654583}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0030,30,251Fm,,Fm,251,100,151,Poenaru,poenaru,7.4245,,0.001,False,,1060000,16000,16000,,"alpha, EC",1.8,,,,2.51871749477,330.154708065,3.50658837049,3210.61603577,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2533105523012245}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0031,31,252Fm,,Fm,252,100,152,Poenaru,poenaru,7.1527,,0.002,False,,91368,432,432,,"alpha, SF; beta^-, SF",100,0.0023,,,3.57026508491,3717.62076202,1.39052903362,24.5770092887,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.24429970965138106}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0032,32,253Fm,,Fm,253,100,153,Poenaru,poenaru,7.1979,,0.001,False,,2160000,86400,86400,,"alpha, EC",12,,,,3.39059433454,2458.07049886,2.94385941661,878.738018701,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.246106943702467}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0033,33,254Fm,,Fm,254,100,154,Poenaru,poenaru,7.3073,,0.001,False,,11671.0026016,7.20432259356,7.20432259356,,"alpha, SF; beta^-, SF",99.94,0.06,,,2.96326790859,918.899274407,1.10384025727,12.7010684703,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.25011421463590366}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0034,34,255Fm,,Fm,255,100,155,Poenaru,poenaru,7.2406,,0.0005,False,,97452,252,252,,"alpha, SF",100,2.4e-05,,,3.22326910737,1672.12641416,1.76552164917,58.2802826237,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.24809479071990118}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0035,35,256Fm,,Fm,256,100,156,Poenaru,poenaru,7.0253,,0.0019,False,,116370.37037,4400.72058885,4400.72058885,,"SF, alpha",8.1,91.9,,,4.08957306597,12290.5994698,0.976269350576,9.46824202156,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.24097273329379543}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0036,36,257Fm,,Fm,257,100,157,Poenaru,poenaru,6.8637,,0.0009,False,,8701473.0935,17316.3643652,17316.3643652,,"alpha , SF",99.79,0.21,,,4.76980293979,58857.6529385,2.16978984182,147.839281029,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.23567828117533318}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0039,39,244Md,,Md,244,101,143,Poenaru,poenaru,8.95,,0.08,False,,0.3,0.19,0.09,approx,"alpha, EC",100,,,,-2.13230543005,0.00737385460257,1.60942668477,40.6842847017,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.29997264693536313}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0041,41,247Md,,Md,247,101,146,Poenaru,poenaru,8.764,,0.01,False,,1.21040952189,0.121040952189,0.121040952189,,"alpha, SF",99.14,0.86,,,-1.62405577014,0.0237653508309,1.70698810162,50.9316917096,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2947094332162321}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0042,42,248Md,,Md,248,101,147,Poenaru,poenaru,8.5,,0.03,False,,35,15,15,,"alpha, EC",20,,,,-0.848581188004,0.141715975959,2.39264923235,246.972860774,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28614397956389737}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0043,43,249Md,,Md,249,101,148,Poenaru,poenaru,8.441,,0.018,True,,34.1333333333,1.2,1.2,,"alpha, EC",75,,,,-0.673167008147,0.212242812432,2.20634571007,160.822093065,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28446693805282935}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0044,44,250Md,,Md,250,101,149,Poenaru,poenaru,8.155,,0.028,False,,762.857142857,64.2857142857,64.2857142857,,"alpha, EC",7,,,,0.225564085993,1.6809859595,2.65687913102,453.815297234,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2751264091792712}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
