record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,Qalpha_MeV,Ealpha_MeV,T_alpha_half_s,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,Qalpha_estimated,Qalpha_is_experimental,T_alpha_half_qualifier,cell_record_index,cell_record_count,Tcalc_s__poenaru,log10_Tcalc_s__poenaru,HF__poenaru,log10_HF__poenaru,Tcalc_s__dzr,log10_Tcalc_s__dzr,HF__dzr,log10_HF__dzr,Tcalc_s__ismail2022_formula_e,log10_Tcalc_s__ismail2022_formula_e,HF__ismail2022_formula_e,log10_HF__ismail2022_formula_e,Tcalc_s__qi2009_udl,log10_Tcalc_s__qi2009_udl,HF__qi2009_udl,log10_HF__qi2009_udl,Tcalc_s__viola_seaborg,log10_Tcalc_s__viola_seaborg,HF__viola_seaborg,log10_HF__viola_seaborg,Tcalc_s__xu2022_unified,log10_Tcalc_s__xu2022_unified,HF__xu2022_unified,log10_HF__xu2022_unified,Tcalc_s__e_rurarz,log10_Tcalc_s__e_rurarz,HF__e_rurarz,log10_HF__e_rurarz
source-row-0013,13,251Es,,Es,251,99,152,6.5971,,23760000,0.5,,,,False,True,,1,1,438063.008205,5.64153658116,54.2387728591,1.73430985515,17100950.9843,7.23302026219,1.38939641555,0.14282617412,40091602.565,7.60305341647,0.592642809963,-0.227206980161,5297133.61607,6.72404092781,4.48544471824,0.651805508495,7790342.11365,6.89155653018,3.04993024098,0.484289906132,5469766.76846,6.73796880836,4.34387808581,0.637877627952,5674124.9095,6.75389889207,4.18742984671,0.621947544238
source-row-0014,14,252Es,,Es,252,99,153,6.7386,,46268307.6923,78,,,,False,True,,1,1,103470.699199,5.01481738382,447.163381039,2.65046623123,10678924.4978,7.02852751597,4.33267485895,0.636756099083,16249131.0616,7.21083014161,2.84743273451,0.454453473445,1158744.13962,6.0639875507,39.9297015712,1.60129606435,1788511.01394,6.25249161895,25.8697359601,1.41279199611,1875487.63476,6.27311420516,24.6700147923,1.39216940989,1258047.45367,6.09969702305,36.7778715796,1.565586592
source-row-0015,15,253Es,,Es,253,99,154,6.73924,,1768608,100,,,,False,True,,1,1,103089.605466,5.01321487754,17.1560264685,1.2344167076,3464465.22636,6.53963620658,0.510499567593,-0.292004621436,7611413.70931,6.88146532814,0.232362615875,-0.633833743,1106825.53968,6.04407917181,1.59791036309,0.203552413335,1776834.39847,6.24964695331,0.995370194052,-0.00201536816541,1124109.43421,6.05080859269,1.5733414792,0.19682299245,1250976.62085,6.09724919336,1.41378181696,0.15038239178
source-row-0016,16,254Es,,Es,254,99,155,6.6172,,23820480,100,3e-06,,,False,True,,1,1,359541.405056,5.55574891127,66.2523972623,1.82120159731,35530441.3603,7.55060060234,0.670424545489,-0.173650093759,57107322.4954,7.75669179853,0.417117787337,-0.379741289949,3805114.9425,6.5803677802,6.26012101078,0.796582728387,6302751.61592,6.79953019242,3.7793778736,0.57742031616,6212780.41974,6.79328600448,3.83410943099,0.583664504107,4592747.29096,6.66207254967,5.18654271418,0.714877958913
source-row-0017,17,255Es,,Es,255,99,156,6.4363,,42984000,8,0.0041,,,False,True,,1,1,2456292.09267,6.39028001015,17.4995474391,1.24302681741,84557273.2781,7.92715096981,0.508341841377,-0.293844142252,200178402.003,8.30141721801,0.214728460064,-0.668110390452,25844745.0555,7.41237225244,1.66316208219,0.220934575118,43976263.04,7.64321832166,0.977436394742,-0.0099114940971,27042580.898,7.43204813758,1.5894932574,0.201258689986,33982525.1814,7.53125564739,1.26488540126,0.102051180173
source-row-0020,20,241Fm,,Fm,241,100,141,8.86,,0.00521428571429,14,78,,,True,False,>,1,1,0.0080062435348,-2.09657120361,0.651277430123,-0.186233971946,0.261637033756,-0.582300783217,0.0199294634993,-1.70050439234,0.217200372917,-0.663139433431,0.0240067990872,-1.61966574213,0.0831332935877,-1.08022501321,0.0627219912656,-1.20258016235,0.0862915986274,-1.06403148525,0.0604263427405,-1.21877369031,0.0911266694399,-1.04035450233,0.0572201941137,-1.24245067323,0.0626621079306,-1.2029949997,0.0832127403065,-1.07981017586
source-row-0022,22,243Fm,,Fm,243,100,143,8.69,,0.253846153846,91,9,,,False,True,,1,1,0.0236865383417,-1.62549840441,10.7168954021,1.03006899198,0.801852129986,-0.0959057128283,0.316574770277,-0.499523699601,0.697253800558,-0.156609109824,0.364065643877,-0.438820302605,0.251591596301,-0.599303869352,1.00896117986,0.0038744569228,0.28207867608,-0.549629743376,0.899912596633,-0.0457996690534,0.270407811078,-0.567980767393,0.938753036882,-0.0274486450355,0.195010132279,-0.709942823106,1.30170751068,0.114513410677
source-row-0023,23,244Fm,,Fm,244,100,144,8.55,,0.321,1,97,,,True,False,>,1,1,0.0602380021115,-1.22012944063,5.32886199323,0.726634473036,0.925727531381,-0.033516820046,0.346754297694,-0.459978147549,0.914128296408,-0.0389928474698,0.351154210258,-0.454502120125,0.660682731237,-0.180007044526,0.485861041651,-0.313487923069,0.768183416958,-0.114535072335,0.417868952796,-0.37895989526,0.439522192206,-0.357019191787,0.730338548752,-0.136475775809,0.518360344192,-0.285368230435,0.619260334238,-0.20812673716
source-row-0024,24,245Fm,,Fm,245,100,145,8.373,,5.4,100,0.3,,,False,True,,1,1,0.204586727977,-0.689122543416,26.3946740504,1.42151630324,7.71230631422,0.887184270368,0.700179658326,-0.154790510545,6.98198188924,0.843978717951,0.773419365112,-0.111584958128,2.34705251445,0.370522806889,2.30075806432,0.361870952934,2.82548237045,0.451092601869,1.91117808997,0.281301157954,2.44310647709,0.387942395097,2.21030071781,0.344451364726,1.86600045448,0.270911745187,2.89388997041,0.461482014636
source-row-0025,25,246Fm,,Fm,246,100,146,8.379,,1.6452991453,93.6,6.4,,,False,True,,1,1,0.193643607984,-0.712996834145,8.49653217284,0.929241706243,3.05979894074,0.485692889946,0.537714790144,-0.269448017848,2.81068990397,0.448812933682,0.585371991045,-0.232568061584,2.15412789928,0.333271485546,0.763788977363,-0.117026613448,2.70162945141,0.43162578205,0.609002520475,-0.215380909952,1.40987105664,0.14917939496,1.16698554634,0.0670654771379,1.75920965792,0.245317600602,0.935249040891,-0.0290727285035
